wilayah,jenis_wilayah,tahun,bulan,bulan_ke,tpt,persentase_penduduk_miskin,gini_ratio,ipg,rls,hls,inflasi_yoy,pendidikan_indeks_sederhana,kemiskinan_pengangguran_index,gender_pendidikan_index,is_bulan_awal_tahun,is_bulan_tengah_tahun,is_bulan_akhir_tahun
Kabupaten Bandung,Kabupaten,2024,Agustus,8,6.36,6.19,0.364,95.1,9.15,12.74,,10.945,12.55,53.0225,0,1,0
Kabupaten Bandung,Kabupaten,2024,September,9,6.36,6.19,0.364,95.1,9.15,12.74,,10.945,12.55,53.0225,0,0,1
Kabupaten Bandung,Kabupaten,2024,Oktober,10,6.36,6.19,0.364,95.1,9.15,12.74,,10.945,12.55,53.0225,0,0,1
Kabupaten Bandung,Kabupaten,2024,November,11,6.36,6.19,0.364,95.1,9.15,12.74,,10.945,12.55,53.0225,0,0,1
Kabupaten Bandung,Kabupaten,2024,Desember,12,6.36,6.19,0.364,95.1,9.15,12.74,,10.945,12.55,53.0225,0,0,1
Kabupaten Bandung,Kabupaten,2025,Januari,1,,6.04,0.385,95.26,9.4,12.99,,11.195,,53.227500000000006,1,0,0
Kabupaten Bandung,Kabupaten,2025,Februari,2,,6.04,0.385,95.26,9.4,12.99,-0.45,11.195,,53.227500000000006,1,0,0
Kabupaten Bandung,Kabupaten,2025,Maret,3,,6.04,0.385,95.26,9.4,12.99,0.85,11.195,,53.227500000000006,1,0,0
Kabupaten Bandung,Kabupaten,2025,April,4,,6.04,0.385,95.26,9.4,12.99,1.61,11.195,,53.227500000000006,0,1,0
Kabupaten Bandung,Kabupaten,2025,Mei,5,,6.04,0.385,95.26,9.4,12.99,1.26,11.195,,53.227500000000006,0,1,0
Kabupaten Bandung,Kabupaten,2025,Juni,6,,6.04,0.385,95.26,9.4,12.99,1.38,11.195,,53.227500000000006,0,1,0
Kabupaten Bandung,Kabupaten,2025,Juli,7,,6.04,0.385,95.26,9.4,12.99,1.55,11.195,,53.227500000000006,0,1,0
Kabupaten Bandung,Kabupaten,2025,Agustus,8,,6.04,0.385,95.26,9.4,12.99,1.46,11.195,,53.227500000000006,0,1,0
Kabupaten Bandung,Kabupaten,2025,September,9,,6.04,0.385,95.26,9.4,12.99,1.87,11.195,,53.227500000000006,0,0,1
Kabupaten Bandung,Kabupaten,2025,Oktober,10,,6.04,0.385,95.26,9.4,12.99,2.23,11.195,,53.227500000000006,0,0,1
Kabupaten Bandung,Kabupaten,2025,November,11,,6.04,0.385,95.26,9.4,12.99,1.89,11.195,,53.227500000000006,0,0,1
Kabupaten Bandung,Kabupaten,2025,Desember,12,,6.04,0.385,95.26,9.4,12.99,2.13,11.195,,53.227500000000006,0,0,1
Kabupaten Bandung Barat,Kabupaten,2021,Januari,1,11.65,11.3,0.356,79.72,8.2,11.88,,10.04,22.950000000000003,44.88,1,0,0
Kabupaten Bandung Barat,Kabupaten,2021,Februari,2,11.65,11.3,0.356,79.72,8.2,11.88,,10.04,22.950000000000003,44.88,1,0,0
Kabupaten Bandung Barat,Kabupaten,2021,Maret,3,11.65,11.3,0.356,79.72,8.2,11.88,,10.04,22.950000000000003,44.88,1,0,0
Kabupaten Bandung Barat,Kabupaten,2021,April,4,11.65,11.3,0.356,79.72,8.2,11.88,,10.04,22.950000000000003,44.88,0,1,0
Kabupaten Bandung Barat,Kabupaten,2021,Mei,5,11.65,11.3,0.356,79.72,8.2,11.88,,10.04,22.950000000000003,44.88,0,1,0
Kabupaten Bandung Barat,Kabupaten,2021,Juni,6,11.65,11.3,0.356,79.72,8.2,11.88,,10.04,22.950000000000003,44.88,0,1,0
Kabupaten Bandung Barat,Kabupaten,2021,Juli,7,11.65,11.3,0.356,79.72,8.2,11.88,,10.04,22.950000000000003,44.88,0,1,0
Kabupaten Bandung Barat,Kabupaten,2021,Agustus,8,11.65,11.3,0.356,79.72,8.2,11.88,,10.04,22.950000000000003,44.88,0,1,0
Kabupaten Bandung Barat,Kabupaten,2021,September,9,11.65,11.3,0.356,79.72,8.2,11.88,,10.04,22.950000000000003,44.88,0,0,1
Kabupaten Bandung Barat,Kabupaten,2021,Oktober,10,11.65,11.3,0.356,79.72,8.2,11.88,,10.04,22.950000000000003,44.88,0,0,1
Kabupaten Bandung Barat,Kabupaten,2021,November,11,11.65,11.3,0.356,79.72,8.2,11.88,,10.04,22.950000000000003,44.88,0,0,1
Kabupaten Bandung Barat,Kabupaten,2021,Desember,12,11.65,11.3,0.356,79.72,8.2,11.88,,10.04,22.950000000000003,44.88,0,0,1
Kabupaten Bandung Barat,Kabupaten,2022,Januari,1,9.63,10.82,0.368,80.41,8.22,11.89,,10.055,20.450000000000003,45.2325,1,0,0
Kabupaten Bandung Barat,Kabupaten,2022,Februari,2,9.63,10.82,0.368,80.41,8.22,11.89,,10.055,20.450000000000003,45.2325,1,0,0
Kabupaten Bandung Barat,Kabupaten,2022,Maret,3,9.63,10.82,0.368,80.41,8.22,11.89,,10.055,20.450000000000003,45.2325,1,0,0
Kabupaten Bandung Barat,Kabupaten,2022,April,4,9.63,10.82,0.368,80.41,8.22,11.89,,10.055,20.450000000000003,45.2325,0,1,0
Kabupaten Bandung Barat,Kabupaten,2022,Mei,5,9.63,10.82,0.368,80.41,8.22,11.89,,10.055,20.450000000000003,45.2325,0,1,0
Kabupaten Bandung Barat,Kabupaten,2022,Juni,6,9.63,10.82,0.368,80.41,8.22,11.89,,10.055,20.450000000000003,45.2325,0,1,0
Kabupaten Bandung Barat,Kabupaten,2022,Juli,7,9.63,10.82,0.368,80.41,8.22,11.89,,10.055,20.450000000000003,45.2325,0,1,0
